,JS_divergence
0,0.2815323
1,0.21535376
2,0.18310644
3,0.21024325
4,0.48519266
5,0.20094647
6,0.26168635
7,0.31964222
8,0.24231115
9,0.14326335
10,0.2519703
11,0.2291294
12,0.17819872
13,0.14495495
14,0.22164094
15,0.21424288
16,0.50453067
17,0.55107266
18,0.11805099
19,0.29923445
20,0.50929
21,0.5145488
22,0.2038374
23,0.5227195
24,0.14881429
25,0.1588636
26,0.549579
27,0.34128785
28,0.4114523
29,0.21374029
30,0.32501322
31,0.17786452
32,0.26010948
33,0.51542115
34,0.17966557
35,0.17581522
36,0.1630502
37,0.16236484
38,0.14302047
39,0.3171027
40,0.11242142
41,0.29359603
42,0.28770804
43,0.5321116
44,0.21551558
45,0.30658856
46,0.27180508
47,0.35370165
48,0.21120375
49,0.24925533
50,0.23654982
51,0.22528511
52,0.231882
53,0.23663916
54,0.2058488
55,0.15444505
56,0.3595131
57,0.18978854
58,0.18294533
59,0.44840306
60,0.4424655
61,0.477026
62,0.27928495
63,0.111276224
64,0.37737295
65,0.48636034
66,0.16313073
67,0.33929974
68,0.39547223
69,0.24170718
70,0.16212943
71,0.2843811
72,0.152765
73,0.2143606
74,0.099854246
75,0.4348697
76,0.19885778
77,0.2583701
78,0.17249915
79,0.11118865
80,0.1238811
81,0.13111064
82,0.26592362
83,0.4772873
84,0.1506218
85,0.19342348
86,0.2108457
87,0.14145891
88,0.1291964
89,0.11796288
90,0.19469981
91,0.2779603
92,0.1829541
93,0.14448118
94,0.1756455
95,0.18668222
96,0.31910053
97,0.17823237
98,0.4832888
99,0.29473338
100,0.519546
101,0.49265346
102,0.21957709
103,0.18617062
104,0.38665158
105,0.102772176
106,0.39982027
107,0.22970766
108,0.22485992
109,0.2602338
110,0.19809234
111,0.30624226
112,0.14376959
113,0.19146669
114,0.15390377
115,0.23339657
116,0.47587532
117,0.39169914
118,0.25384116
119,0.46674764
120,0.1963309
121,0.5221213
122,0.2133426
123,0.15706095
124,0.1240146
125,0.25271767
126,0.21581706
127,0.21836105
128,0.43353814
129,0.34330118
130,0.39799547
131,0.17612943
132,0.18011677
133,0.44912806
134,0.41406012
135,0.22411789
136,0.15314043
137,0.17050958
138,0.21066192
139,0.15369423
140,0.19725314
141,0.20889388
142,0.42319632
143,0.24089462
144,0.21491124
145,0.38888526
146,0.25921756
147,0.25675172
148,0.4571632
149,0.27997512
150,0.16014016
151,0.14937076
152,0.21793903
153,0.46569064
154,0.44311762
155,0.34004098
156,0.3244624
157,0.14385831
158,0.23514318
159,0.15854153
160,0.40689442
161,0.30449495
162,0.13844818
163,0.24029645
164,0.14911944
165,0.43628362
166,0.16047694
167,0.18119486
168,0.41325915
169,0.14789407
170,0.091626175
171,0.13539091
172,0.24757662
173,0.16902272
174,0.53288907
175,0.5283673
176,0.22074439
177,0.21947655
178,0.34777808
179,0.1286855
180,0.42338976
181,0.43212414
182,0.32837963
183,0.16773492
184,0.39632565
185,0.167
186,0.23770133
187,0.20874214
188,0.47181088
189,0.14832495
190,0.14598033
191,0.47620338
192,0.18914054
193,0.32024395
194,0.25845656
195,0.31648064
196,0.49206346
197,0.1506733
198,0.510049
199,0.41389784
200,0.48157585
201,0.12652099
202,0.14861692
203,0.24982911
204,0.17679441
205,0.18056932
206,0.22387688
207,0.35386777
208,0.5140687
209,0.21431893
210,0.19343728
211,0.21409546
212,0.46259356
213,0.17738596
214,0.380709
215,0.5344261
216,0.31254888
217,0.4421969
218,0.17324597
219,0.4158225
220,0.49819452
221,0.4515205
222,0.19119638
223,0.46604657
224,0.17070647
225,0.19860506
226,0.20354348
227,0.4961117
228,0.4557995
229,0.20982009
230,0.5298777
231,0.36565918
232,0.45975533
233,0.38366234
234,0.16851458
235,0.40262216
236,0.20265931
237,0.10616222
238,0.2601949
239,0.44277233
240,0.16657162
241,0.195605
242,0.2102968
243,0.12524922
244,0.185675
245,0.49087113
246,0.32397133
247,0.16410285
248,0.2558366
249,0.15319395
250,0.37174794
251,0.31480944
252,0.21288589
253,0.27633488
254,0.1520587
255,0.14477211
256,0.30759954
257,0.22987439
258,0.14176646
259,0.481068
260,0.30757767
261,0.30856547
262,0.53046244
263,0.24267446
264,0.41104907
265,0.111973055
266,0.19531737
267,0.5345789
268,0.3083592
269,0.19217542
270,0.3670081
271,0.49416417
272,0.31388694
273,0.1924775
274,0.11995213
275,0.5198478
276,0.3919267
277,0.31932604
278,0.528844
279,0.26469666
280,0.11774427
281,0.5341294
282,0.34828606
283,0.151158
284,0.12870255
285,0.18401954
286,0.16639915
287,0.1496576
288,0.21881564
289,0.24767777
290,0.10503192
291,0.24467623
292,0.3332665
293,0.1862118
294,0.38151652
295,0.14878353
296,0.5050653
297,0.29837215
298,0.21273248
299,0.23235184
300,0.3063903
301,0.15781325
302,0.412794
303,0.24505797
304,0.4787677
305,0.14484823
306,0.3625936
307,0.38643157
308,0.17668453
309,0.19025603
310,0.16232531
311,0.29662108
312,0.19832325
313,0.15961713
314,0.35628432
315,0.5279877
316,0.21480659
