,JS_divergence
0,0.051925935
1,0.07629974
2,0.11045477
3,0.09465116
4,0.119961545
5,0.0623961
6,0.09402189
7,0.08828286
8,0.037071493
9,0.050871216
10,0.0617605
11,0.05017045
12,0.06468889
13,0.037533607
14,0.041652404
15,0.056067795
16,0.1758736
17,0.06801883
18,0.0837902
19,0.045680735
20,0.23781556
21,0.21990877
22,0.085720636
23,0.095183544
24,0.08750738
25,0.08770095
26,0.057946257
27,0.122674026
28,0.08900593
29,0.05970722
30,0.03604868
31,0.03407453
32,0.05702845
33,0.09159601
34,0.027138814
35,0.061120052
36,0.07126585
37,0.048568964
38,0.14161792
39,0.08460355
40,0.01174628
41,0.040841766
42,0.06591321
43,0.050740145
44,0.10847242
45,0.079707
46,0.07160796
47,0.0947736
48,0.04853651
49,0.06778458
50,0.0844153
51,0.05723968
52,0.049750604
53,0.07120098
54,0.08142668
55,0.14171274
56,0.11186562
57,0.05962783
58,0.065110266
59,0.038962077
60,0.05389399
61,0.04642804
62,0.04933428
63,0.029000264
64,0.046965536
65,0.11717448
66,0.09956069
67,0.07991792
68,0.10685852
69,0.05644698
70,0.088026166
71,0.022915363
72,0.1296937
73,0.07864044
74,0.06845783
75,0.044640236
76,0.052422166
77,0.06651594
78,0.049446907
79,0.0639268
80,0.07654171
81,0.055166297
82,0.0325955
83,0.14130996
84,0.04841611
85,0.04010947
86,0.056630474
87,0.08034581
88,0.088458724
89,0.10741817
90,0.067560084
91,0.034577787
92,0.054966204
93,0.02728951
94,0.13211578
95,0.08133957
96,0.050085492
97,0.058518313
98,0.15061493
99,0.057415247
100,0.06825496
101,0.10382727
102,0.08688909
103,0.051327057
104,0.053610228
105,0.07726445
106,0.08020949
107,0.0575476
108,0.12537281
109,0.08354823
110,0.10255399
111,0.11538713
112,0.06493911
113,0.039891142
114,0.07078098
115,0.029974218
116,0.12324365
117,0.08421649
118,0.04142897
119,0.06390877
120,0.060471073
121,0.044004053
122,0.045198638
123,0.05282466
124,0.053432163
125,0.023199014
126,0.04710947
127,0.027667362
128,0.032661777
129,0.067449756
130,0.08533096
131,0.033791076
132,0.13316293
133,0.04015017
134,0.05158149
135,0.057298817
136,0.08097711
137,0.09014227
138,0.09252815
139,0.11072193
140,0.043505833
141,0.09052208
142,0.026351701
143,0.07256636
144,0.10322713
145,0.104198776
146,0.03372525
147,0.09302142
148,0.118181124
149,0.07368639
150,0.03465979
151,0.07508895
152,0.075252704
153,0.15117618
154,0.040588908
155,0.055544138
156,0.06857222
157,0.07109109
158,0.031638168
159,0.14059152
160,0.05227839
161,0.04351511
162,0.03311824
163,0.07794759
164,0.03790692
165,0.08078347
166,0.12559462
167,0.09994745
168,0.046915054
169,0.13342613
170,0.05869262
171,0.049377058
172,0.065242924
173,0.086204186
174,0.042285014
175,0.08877203
176,0.078191705
177,0.03211853
178,0.0669758
179,0.022719793
180,0.122243606
181,0.12847249
182,0.07169242
183,0.09396182
184,0.06898728
185,0.041058347
186,0.06495224
187,0.03132067
188,0.24240834
189,0.08843395
190,0.06768985
191,0.08256075
192,0.05958134
193,0.046192937
194,0.03768474
195,0.044854157
196,0.07053526
197,0.06710349
198,0.07379745
199,0.124141425
200,0.13133886
201,0.110912874
202,0.11976554
203,0.033112653
204,0.025023814
205,0.03977534
206,0.08306809
207,0.12110181
208,0.07311271
209,0.04872857
210,0.06861508
211,0.0967189
212,0.16027267
213,0.082435526
214,0.07452804
215,0.09785582
216,0.11066861
217,0.0650351
218,0.052265637
219,0.13113952
220,0.081129014
221,0.05437762
222,0.09661126
223,0.07309096
224,0.09961362
225,0.037420683
226,0.04601551
227,0.13528991
228,0.09795325
229,0.030246863
230,0.03151241
231,0.06726417
232,0.14440422
233,0.031574372
234,0.09423072
235,0.06967527
236,0.103369325
237,0.07425105
238,0.080549404
239,0.100313924
240,0.06708291
241,0.03621378
242,0.06741656
243,0.046701588
244,0.0837371
245,0.064709336
246,0.05357439
247,0.12267004
248,0.029409122
