round,clean_overall,clean_truck,leave1_overall,leave1_truck,leave50_overall,leave50_truck,leave100_overall,leave100_truck
1,67.38,52.29,62.32,61.41,42.51,70.67,37.08,57.90
2,83.70,74.51,74.20,76.42,52.66,62.96,44.66,50.38
3,86.33,79.12,77.32,77.10,56.71,63.96,48.56,52.49
4,87.62,80.07,78.70,72.53,56.90,57.60,48.57,46.70
5,88.40,81.68,79.28,70.78,56.67,54.32,48.54,42.62
6,88.90,81.42,79.37,68.54,55.74,48.60,47.68,36.93
7,89.32,83.79,78.78,72.81,55.49,50.63,47.66,38.70
8,89.55,82.83,76.52,70.48,53.65,45.06,46.53,33.30
9,89.66,83.89,73.89,70.23,52.31,43.58,45.79,32.32
10,89.81,83.66,70.75,66.70,50.00,38.21,44.40,28.00
