round,clean_overall,clean_truck,leave1_overall,leave1_truck,leave50_overall,leave50_truck,leave100_overall,leave100_truck
1,62.90,0.00,58.50,0.01,43.02,0.02,37.45,0.01
2,76.44,0.04,68.29,0.02,48.10,0.00,39.01,0.00
3,79.41,1.79,71.62,0.22,53.02,0.01,43.27,0.00
4,81.33,8.37,74.02,0.99,55.93,0.01,45.58,0.02
5,82.34,11.09,74.89,1.32,56.56,0.01,46.39,0.03
6,83.51,18.34,75.17,2.54,57.04,0.16,46.83,0.17
7,84.12,21.29,75.63,3.79,57.55,0.31,47.48,0.27
8,84.57,23.19,75.76,6.69,58.14,0.92,48.23,0.87
9,84.98,25.84,76.08,11.30,57.74,1.97,47.95,1.72
10,85.12,25.49,75.81,14.92,56.92,2.97,47.62,2.24
